,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Partial,False,[],0
1,Detect,Minimal,True,[],1
2,Detect,Minimal,True,[],2
3,Detect,Minimal,True,[],3
4,Detect,Minimal,True,[],4
5,Detect,Partial,False,[],5
6,Detect,Minimal,True,[],6
7,Detect,Partial,False,[],7
8,Detect,Partial,False,[],8
9,Detect,Partial,False,[],9
10,Detect,Partial,False,[],10
11,Detect,Partial,False,[],11
12,Detect,Partial,False,[],12
13,Detect,Partial,False,[],13
14,Detect,Minimal,True,[],14
15,Detect,Partial,True,[],15
16,Detect,Minimal,True,[],16
17,Detect,Minimal,False,[],17
